curso_id,title,description,duration,order_index,topics,icon
1203,Semana 1: Estructuras de Control,Secuenciales y selectivas.,2h,1,"{Control secuencial, If-Else, Anidamiento}",code
1203,Semana 2: Estructuras Repetitivas,Bucles y repeticiones.,2h,2,"{For, While, Do-While}",repeat
1203,Semana 3: Arreglos,Arreglos unidimensionales.,2h,3,"{Arrays, Vectores}",list
1203,Semana 4: Ordenamiento,Algoritmos de ordenamiento.,2h,4,"{Bubble sort, Selection sort}",bar-chart-2
1203,Semana 5: Búsqueda,Algoritmos de búsqueda.,2h,5,"{Búsqueda lineal, Búsqueda binaria}",search
1203,Semana 6: Matrices,Arreglos multidimensionales.,2h,6,"{Matrices 2D, Operaciones matrices}",grid
1203,Semana 7: Registros,Structs y arreglos de registros.,2h,7,"{Structs, Registros}",database
1203,Semana 8: Examen Parcial,Evaluación parcial.,2h,8,{Examen Parcial},edit
1203,Semana 9: Cadenas,Manejo de strings.,2h,9,"{Strings, Operaciones con texto}",type
1203,Semana 10: Subprogramas,Funciones y procedimientos.,2h,10,"{Funciones, Parámetros}",box
1203,Semana 11: Recursividad,Conceptos de recursión.,2h,11,{Recursividad},refresh-cw
1203,Semana 12: Archivos,Manejo de archivos secuenciales y aleatorios.,2h,12,"{Archivos, Lectura/Escritura}",save
1203,Semana 13: Punteros y Listas,Listas enlazadas.,2h,13,"{Punteros, Listas enlazadas}",link
1203,Semana 14: Pilas y Colas,Estructuras LIFO y FIFO.,2h,14,"{Stacks, Queues}",layers
1203,Semana 15: Árboles,Árboles binarios.,2h,15,"{Árboles binarios, Recorridos}",git-merge
1203,Semana 16: Examen Final,Evaluación final.,2h,16,{Examen Final},file-text
